dof_B1E1,dof_B1F1,dof_B1F2,dof_B2E1,dof_B2F1,dof_B2F2,dof_B3E1,dof_B3F1,dof_B3F2,dof_DrTr,dof_GenAz,dof_Heave,dof_NacYaw,dof_Pitch,dof_Roll,dof_Surge,dof_Sway,dof_TwrFA1,dof_TwrFA2,dof_TwrSS1,dof_TwrSS2,dof_Yaw,env_AeroThrust,env_GenPower,env_GenTorque,env_PitchCmd,env_Time,env_WaveElev,env_WindSpeed,env_wave_elev,env_wind_speed,gen_torque,moor_Fx,moor_Fy,moor_Fz,moor_Mx,moor_My,moor_Mz,moor_Time,qB1E1,qB1F1,qB1F2,qB2E1,qB2F1,qB2F2,qB3E1,qB3F1,qB3F2,qDrTr,qGeAz,qHv,qP,qR,qSg,qSw,qTFA1,qTFA2,qTSS1,qTSS2,qY,qyaw,thrust,time
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.119822489192814,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.729999999999837,1.829654508662394,11.4,1.829654508662394,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.729999999999837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.63999999999413,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.739999999999837
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1261056744999935,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.739999999999837,1.8293857979732597,11.4,1.8293857979732597,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.739999999999837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.9999999999941,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.749999999999837
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.132388859807173,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.749999999999837,1.8290403299357578,11.4,1.8290403299357578,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.749999999999837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.35999999999405,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.759999999999836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.138672045114352,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.759999999999836,1.8286181190450326,11.4,1.8286181190450326,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.759999999999836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.71999999999406,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.769999999999836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.144955230421531,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.769999999999836,1.8281191830162036,11.4,1.8281191830162036,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.769999999999836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.079999999994,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.779999999999836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15123841572871,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.779999999999836,1.8275435427836233,11.4,1.8275435427836233,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.779999999999836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.439999999994,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.789999999999836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1575216010358895,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.789999999999836,1.8268912224999976,11.4,1.8268912224999976,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.789999999999836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.799999999994,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.799999999999836
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.163804786343069,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.799999999999836,1.8261622495353738,11.4,1.8261622495353738,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.799999999999836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.159999999994,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.809999999999835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.170087971650248,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.809999999999835,1.825356654475991,11.4,1.825356654475991,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.809999999999835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.5199999999939,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.819999999999835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.176371156957427,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.819999999999835,1.8244744711229977,11.4,1.8244744711229977,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.819999999999835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.8799999999939,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.829999999999835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.182654342264606,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.829999999999835,1.8235157364910324,11.4,1.8235157364910324,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.829999999999835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.2399999999939,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.839999999999835
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1889375275717855,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.839999999999835,1.8224804908066725,11.4,1.8224804908066725,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.839999999999835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.5999999999938,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.849999999999834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.195220712878965,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.849999999999834,1.8213687775067444,11.4,1.8213687775067444,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.849999999999834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.95999999999384,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.859999999999834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.201503898186144,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.859999999999834,1.8201806432365015,11.4,1.8201806432365015,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.859999999999834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.31999999999385,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.869999999999834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.207787083493323,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.869999999999834,1.8189161378476686,11.4,1.8189161378476686,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.869999999999834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355.67999999999375,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.879999999999834
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.214070268800502,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,nan,2479338.7561463322,43093.55,0.0,9.879999999999834,1.8175753143963478,11.4,1.8175753143963478,11.4,43093.55,0.0,0.0,0.0,0.0,0.0,0.0,9.879999999999834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.03999999999377,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,nan,0.0,nan,9.889999999999834
